batch_id,bank_trx_id,settlement_date,credit_date,batch_net,bank_amount,batch_gross,batch_refund,batch_order_count,bank_description,bank_description_clean,match_label,amount_diff,amount_abs_diff,amount_pct_diff,amount_log_ratio,fee_adjusted_diff,date_diff_days,date_diff_abs,is_weekend_credit,desc_jaccard,desc_seq_ratio,keyword_shopee_flag,batch_size_log,refund_ratio,group_size
BATCH000001,BANK0000017,2025-09-06,2025-09-11,56859.78,55173.47,60723.34,1961.17,229,sHOPEE dIGITAL my-109486,SHOPEE DIGITAL MY 109486,0,1686.3099999999977,1686.3099999999977,0.029657343028762998,0.030105477735450137,3588.699999999997,-5,5,0,0.2,0.4878048780487805,1,5.438079308923196,0.03229680712556325,1
BATCH000001,BANK0000039,2025-09-06,2025-09-12,56859.78,50990.57,60723.34,1961.17,229,SP Settlement  341429,SP SETTLEMENT 341429,0,5869.209999999999,5869.209999999999,0.10322252390002211,0.10894549908828566,7771.5999999999985,-6,6,0,0.25,0.7027027027027027,1,5.438079308923196,0.03229680712556325,1
BATCH000001,BANK0000042,2025-09-06,2025-09-06,56859.78,56859.78,60723.34,1961.17,229,SH0PEE-PAY0UT  332769,SH0PEE PAY0UT 332769,1,0.0,0.0,0.0,0.0,1902.3899999999994,0,0,1,0.0,0.3783783783783784,0,5.438079308923196,0.03229680712556325,1
BATCH000002,BANK0000014,2025-09-09,2025-09-09,116870.79,116870.79,124606.85,3644.47,463,Shopee Payout  895545,SHOPEE PAYOUT 895545,1,0.0,0.0,0.0,0.0,4091.590000000011,0,0,0,0.25,0.43243243243243246,1,6.139884552226255,0.02924775002337351,1
BATCH000002,BANK0000068,2025-09-09,2025-09-16,116870.79,107933.06,124606.85,3644.47,463,SP Settlement-319765,SP SETTLEMENT 319765,0,8937.729999999996,8937.729999999996,0.0764753108967604,0.07955703688731397,13029.320000000007,-7,7,0,0.25,0.7027027027027027,1,6.139884552226255,0.02924775002337351,1
BATCH000003,BANK0000017,2025-09-11,2025-09-11,55173.47,55173.47,58260.6,1259.55,234,sHOPEE dIGITAL my-109486,SHOPEE DIGITAL MY 109486,1,0.0,0.0,0.0,0.0,1827.5799999999945,0,0,0,0.2,0.4878048780487805,1,5.459585514144159,0.0216192418203726,1
BATCH000003,BANK0000039,2025-09-11,2025-09-12,55173.47,50990.57,58260.6,1259.55,234,SP Settlement  341429,SP SETTLEMENT 341429,0,4182.9000000000015,4182.9000000000015,0.0758136111431817,0.07884002135283552,6010.479999999996,-1,1,0,0.25,0.7027027027027027,1,5.459585514144159,0.0216192418203726,1
BATCH000003,BANK0000042,2025-09-11,2025-09-06,55173.47,56859.78,58260.6,1259.55,234,SH0PEE-PAY0UT  332769,SH0PEE PAY0UT 332769,0,-1686.3099999999977,1686.3099999999977,0.03056378364456681,-0.030105477735450137,141.2699999999968,5,5,1,0.0,0.3783783783783784,0,5.459585514144159,0.0216192418203726,1
BATCH000004,BANK0000017,2025-09-12,2025-09-11,50990.57,55173.47,54532.12,1989.13,220,sHOPEE dIGITAL my-109486,SHOPEE DIGITAL MY 109486,0,-4182.9000000000015,4182.9000000000015,0.08203281508718184,-0.07884002135283552,2630.479999999996,1,1,0,0.2,0.4878048780487805,1,5.3981627015177525,0.036476300572946735,1
BATCH000004,BANK0000039,2025-09-12,2025-09-12,50990.57,50990.57,54532.12,1989.13,220,SP Settlement  341429,SP SETTLEMENT 341429,1,0.0,0.0,0.0,0.0,1552.4200000000055,0,0,0,0.25,0.7027027027027027,1,5.3981627015177525,0.036476300572946735,1
BATCH000004,BANK0000042,2025-09-12,2025-09-06,50990.57,56859.78,54532.12,1989.13,220,SH0PEE-PAY0UT  332769,SH0PEE PAY0UT 332769,0,-5869.209999999999,5869.209999999999,0.11510383194382803,-0.10894549908828566,4316.789999999994,6,6,1,0.0,0.3783783783783784,0,5.3981627015177525,0.036476300572946735,1
BATCH000005,BANK0000014,2025-09-16,2025-09-09,107933.06,116870.79,115813.45,4193.87,426,Shopee Payout  895545,SHOPEE PAYOUT 895545,0,-8937.729999999996,8937.729999999996,0.08280808493708967,-0.07955703688731397,5251.209999999992,7,7,0,0.25,0.43243243243243246,1,6.056784013228625,0.03621228795101087,1
BATCH000005,BANK0000054,2025-09-16,2025-09-25,107933.06,102451.6,115813.45,4193.87,426,Shopee Digital MY-974530,SHOPEE DIGITAL MY 974530,0,5481.459999999992,5481.459999999992,0.050785737011440166,0.052120232507547826,9167.979999999996,-9,9,0,0.2,0.4878048780487805,1,6.056784013228625,0.03621228795101087,1
BATCH000005,BANK0000067,2025-09-16,2025-09-23,107933.06,107472.24,115813.45,4193.87,426,Shopee Digital MY  455627,SHOPEE DIGITAL MY 455627,0,460.81999999999243,460.81999999999243,0.004269498150057012,0.004278598756833674,4147.3399999999965,-7,7,0,0.2,0.4878048780487805,1,6.056784013228625,0.03621228795101087,1
BATCH000005,BANK0000068,2025-09-16,2025-09-16,107933.06,107933.06,115813.45,4193.87,426,SP Settlement-319765,SP SETTLEMENT 319765,1,0.0,0.0,0.0,0.0,3686.520000000004,0,0,0,0.25,0.7027027027027027,1,6.056784013228625,0.03621228795101087,1
BATCH000006,BANK0000051,2025-09-22,2025-10-01,107472.24,93616.76,113738.38,3033.43,455,sH0PEE pAY0UT  710531,SH0PEE PAY0UT 710531,0,13855.48000000001,13855.48000000001,0.12892147776951526,0.13802177727263398,17088.190000000017,-9,9,0,0.0,0.3783783783783784,0,6.1224928095143865,0.026670240951207496,1
BATCH000006,BANK0000054,2025-09-22,2025-09-25,107472.24,102451.6,113738.38,3033.43,455,Shopee Digital MY-974530,SHOPEE DIGITAL MY 974530,0,5020.639999999999,5020.639999999999,0.04671569141947725,0.04784163375071415,8253.350000000006,-3,3,0,0.2,0.4878048780487805,1,6.1224928095143865,0.026670240951207496,1
BATCH000006,BANK0000067,2025-09-22,2025-09-23,107472.24,107472.24,113738.38,3033.43,455,Shopee Digital MY  455627,SHOPEE DIGITAL MY 455627,1,0.0,0.0,0.0,0.0,3232.7100000000064,-1,1,0,0.2,0.4878048780487805,1,6.1224928095143865,0.026670240951207496,1
BATCH000006,BANK0000068,2025-09-22,2025-09-16,107472.24,107933.06,113738.38,3033.43,455,SP Settlement-319765,SP SETTLEMENT 319765,0,-460.81999999999243,460.81999999999243,0.004287804925253186,-0.004278598756833674,2771.890000000014,6,6,0,0.25,0.7027027027027027,1,6.1224928095143865,0.026670240951207496,1
